# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = +0.01,global (period-level prediction),11,1.332922,-0.000285,-0.000288,0.000003,0.9995,-0.004590,0.004394,nan,nan
(ii) Δc = +0.01,W60,12,1.188893,-0.001269,-0.001576,0.000307,0.7427,-0.001422,0.001940,0.000346,-0.000408
(ii) Δc = +0.01,global (run-level prediction),12,1.336683,-0.003990,0.000000,-0.003990,0.1709,-0.009112,0.000607,nan,nan
(ii) Δc = +0.01,global (period-level prediction),12,1.336683,-0.003990,-0.004100,0.000110,0.9536,-0.003517,0.003551,nan,nan
(ii) Δc = +0.01,W60,13,1.188962,-0.002876,-0.001485,-0.001392,0.3035,-0.003835,0.000978,0.001073,0.001039
(ii) Δc = +0.01,global (run-level prediction),13,1.335750,-0.003835,-0.000000,-0.003835,0.2645,-0.009682,0.002660,nan,nan
(ii) Δc = +0.01,global (period-level prediction),13,1.335750,-0.003835,-0.001603,-0.002233,0.2618,-0.005615,0.001665,nan,nan
(ii) Δc = +0.01,W60,14,1.190322,-0.002718,-0.001297,-0.001421,0.2579,-0.003682,0.001253,0.000112,0.000108
(ii) Δc = +0.01,global (run-level prediction),14,1.336839,-0.000256,0.000000,-0.000256,0.9250,-0.004620,0.004051,nan,nan
(ii) Δc = +0.01,global (period-level prediction),14,1.336839,-0.000256,0.000175,-0.000431,0.8568,-0.004934,0.004078,nan,nan
(ii) Δc = +0.01,W60,15,1.186575,0.001525,0.000141,0.001384,0.2246,-0.000558,0.003542,0.000003,-0.001462
(ii) Δc = +0.01,global (run-level prediction),15,1.335060,-0.000269,-0.000000,-0.000269,0.9248,-0.005714,0.004806,nan,nan
(ii) Δc = +0.01,global (period-level prediction),15,1.335060,-0.000269,0.000796,-0.001065,0.4974,-0.004074,0.001648,nan,nan
(ii) Δc = +0.01,W60,16,1.186106,0.002389,0.002766,-0.000378,0.7681,-0.003056,0.001960,0.000207,-0.001216
(ii) Δc = +0.01,global (run-level prediction),16,1.332037,0.003665,-0.000000,0.003665,0.3066,-0.002873,0.009735,nan,nan
(ii) Δc = +0.01,global (period-level prediction),16,1.332037,0.003665,0.002649,0.001016,0.5752,-0.001813,0.004312,nan,nan
(ii) Δc = +0.01,W60,17,1.187660,-0.001258,-0.002708,0.001451,0.2465,-0.000802,0.003655,-0.000387,-0.000624
(ii) Δc = +0.01,global (run-level prediction),17,1.334572,-0.001780,0.000000,-0.001780,0.4745,-0.006044,0.003049,nan,nan
(ii) Δc = +0.01,global (period-level prediction),17,1.334572,-0.001780,-0.001477,-0.000304,0.8466,-0.003169,0.002341,nan,nan
